rank, university_name, name_tr
518, Hacettepe University / Hacettepe Üniversitesi, Hacettepe Üniversitesi / Hacettepe Üniversitesi
540, Middle East Technical University / Orta Doğu Teknik Üniversitesi, Orta Doğu Teknik Üniversitesi / Orta Doğu Teknik Üniversitesi
552, Istanbul Technical University / İstanbul Teknik Üniversitesi, İstanbul Teknik Üniversitesi / İstanbul Teknik Üniversitesi
734, Ankara University, Ankara Üniversitesi
799, Koç University, Koç Üniversitesi
858, Istanbul University, İstanbul Üniversitesi
935, Bilkent University, Bilkent Üniversitesi
953, Atatürk University, Atatürk Üniversitesi
1041, Gazi University / Gazi Üniversitesi, Gazi Üniversitesi / Gazi Üniversitesi
1041, Ege University, Ege Üniversitesi
1085, Sabanci University, Sabancı Üniversitesi
1106, Dokuz Eylül University, Dokuz Eylül Üniversitesi
1117, Marmara University, marmara üniversitesi
1283, University of Anatolia / Anadolu Üniversitesi, Anadolu Üniversitesi / Anadolu Üniversitesi
1288, Firat University / Fýrat Üniversitesi, Fırat Üniversitesi / Fırat Üniversitesi
1294, Sakarya University, Sakarya Üniversitesi
1305, Erciyes University, Erciyes Üniversitesi
1388, Akdeniz University, Akdeniz Üniversitesi
1418, Istanbul Bilgi University, İstanbul Bilgi Üniversitesi
1440, Uludağ University, Uludağ Üniversitesi
1475, Karadeniz Technical University / Karadeniz Teknik Üniversitesi, Karadeniz Teknik Üniversitesi / Karadeniz Teknik Üniversitesi
1482, Ondokuz Mayýs University, Ondokuz Mayıs Üniversitesi
1573, Çankaya University, Çankaya Üniversitesi
1598, Bahçeşehir Üniversitesi BAU, Bahçeşehir Üniversitesi BAU
1649, Cumhuriyet University / Sivas Cumhuriyet Üniversitesi, Cumhuriyet Üniversitesi / Sivas Cumhuriyet Üniversitesi
1651, Gaziantep University, Gazi Üniversitesi
1704, Gebze Technological University / Gebze Teknik Üniversitesi, Gebze Teknoloji Üniversitesi / Gebze Teknik Üniversitesi
1717, Suleyman Demirel University Turkey, Süleyman Demirel Üniversitesi Türkiye
1745, Özyeğin University, Özyeğin Üniversitesi
1770, Kocaeli University, Kocaeli Üniversitesi
1777, Izmir Institute of Technology / İzmir Yüksek Teknoloji Enstitüsü, İzmir Yüksek Teknoloji Enstitüsü / İzmir Yüksek Teknoloji Enstitüsü
1786, Kirikkale University, Kırıkkale Üniversitesi
1799, Istanbul Üniversitesi-Cerrahpaşa, İstanbul Üniversitesi-Cerrahpaşa
1802, Mersin University, Mersin Üniversitesi
1814, Eskişehir Osmangazi University, Eskisehir Osmangazi Üniversitesi
1821, Istanbul Aydin University / Ýstanbul Aydýn Üniversitesi, İstanbul Aydın Üniversitesi / İstanbul Aydın Üniversitesi
1826, Karabük University, Karabük Üniversitesi
1838, Pamukkale University, Pamukkale Üniversitesi
1851, Harran University, Harran Üniversitesi
1877, TOBB Economics and Technology University, TOBB Ekonomi ve Teknoloji Üniversitesi
1894, Yüzüncü Yil University, Yüzüncü Yıl Üniversitesi
1982, Çanakkale Onsekyz Mart University, Çanakkale Onsekiz Mart Üniversitesi
2015, Necmettin Erbakan University Konya, Necmettin Erbakan Üniversitesi Konya
2047, Yeditepe University, Yeditepe Üniversitesi
2055, İnönü University Malatya, İnönü Üniversitesi Malatya
2114, Başkent University, Başkent Üniversitesi
2118, Abant Izzet Baysal University, Abant İzzet Baysal Üniversitesi
2122, Istanbul Medipol University, İstanbul Medipol Üniversitesi
2129, Healh Sciences University Istanbul / Sağlık Bilimleri Üniversitesi, Sağlık Bilimleri Üniversitesi İstanbul / Sağlık Bilimleri Üniversitesi
2170, Trakya University, Trakya Üniversitesi
2178, Muğla Sıtkı Koçman Üniversitesi, Muğla Sıtkı Koçman Üniversitesi
2205, Yildiz Technical University / Yıldız Teknik Üniversitesi, Yıldız Teknik Üniversitesi / Yıldız Teknik Üniversitesi
2242, Adnan Menderes University, Adnan Menderes Üniversitesi
2277, Gelişim University / İstanbul Gelişim Üniversitesi, Gelişim Üniversitesi / İstanbul Gelişim Üniversitesi
2280, İstanbul Medeniyet Üniversitesi, İstanbul Medeniyet Üniversitesi
2286, Gaziosmanpaşa University / Tokat Gaziosmanpaşa Üniversitesi, Gaziosmanpaşa Üniversitesi / Tokat Gaziosmanpaşa Üniversitesi
2354, Atilim University, Atılım Üniversitesi
2358, Afyon Kocatepe University, Afyon Kocatepe Üniversitesi
2368, Bartin University, Bartın Üniversitesi
2379, Çukurova University, Çukurova Üniversitesi
2407, Yaşar University, Yaşar Üniversitesi
2416, Kafkas University / Kafkas Üniversitesi, Kafkas Üniversitesi / Kafkas Üniversitesi
2431, Bingöl University, Bingöl Üniversitesi
2444, Karamanoğlu Mehmetbey University, Karamanoğlu Mehmetbey Üniversitesi
2473, Giresun University, Giresun Üniversitesi
2479, Balikesir University, Balıkesir Üniversitesi
2484, Recep Tayyip Erdoğan University (Rize University) / Recep Tayyip Erdoğan Üniversitesi, Recep Tayyip Erdoğan Üniversitesi (Rize Üniversitesi) / Recep Tayyip Erdoğan Üniversitesi
2495, Zonguldak Bülent Ecevit Üniversitesi, Zonguldak Bülent Ecevit Üniversitesi
2517, Bozok University, Bozok Üniversitesi
2530, Adiyaman University, Adıyaman Üniversitesi
2535, Selçuk University, Selçuk Üniversitesi
2543, Namik Kemal University, Namık Kemal Üniversitesi
2550, Kahramanmaraş Sütçü İmam University / Kahramanmaraş Sütçü İmam Üniversitesi, Kahramanmaraş Sütçü İmam Üniversitesi / Kahramanmaraş Sütçü İmam Üniversitesi
2559, Kastamonu University, Kastamonu Üniversitesi
2561, Yıldırım Beyazıt University / Ankara Yıldırım Beyazıt Üniversitesi, Yıldırım Beyazıt Üniversitesi / Ankara Yıldırım Beyazıt Üniversitesi
2573, Nigde Omer Halisdemir University, Niğde Ömer Halisdemir Üniversitesi
2598, Dicle University, Dicle Üniversitesi
2638, Kadir Has University, Kadir Has Üniversitesi
2648, Uskudar University / Üsküdar Üniversitesi, Üsküdar Üniversitesi / Üsküdar Üniversitesi
2649, Mehmet Akif Ersoy University, Mehmet Akif Ersoy Üniversitesi
2654, Izmir University of Economics / İzmir Ekonomi Üniversitesi, İzmir Ekonomi Üniversitesi / İzmir Ekonomi Üniversitesi
2665, Beykent University, Beykent Üniversitesi
2715, Acibadem University / Acıbadem Üniversitesi, Acıbadem Üniversitesi / Acıbadem Üniversitesi
2721, Sinop University, Sinop Üniversitesi
2723, Izmir Katip Celebi University / İzmir Kâtip Çelebi Üniversitesi, İzmir Katip Çelebi Üniversitesi / İzmir Kâtip Çelebi Üniversitesi
2732, Dumlupinar University / T C Kütahya Dumlupınar Üniversitesi, Dumlupınar Üniversitesi / T C Kütahya Dumlupınar Üniversitesi
2732, Aksaray University, Aksaray Üniversitesi
2767, Selçuk Kemal University, Selçuk Kemal Üniversitesi
2805, Hasan Kalyoncu University (Gazikent University), Hasan Kalyoncu Üniversitesi (Gazikent Üniversitesi)
2819, Biruni Üniversitesi, Biruni Üniversitesi
2834, Hitit University, Hitit Üniversitesi
2888, Siirt University, Siirt Üniversitesi
2890, Ahi Evran University, Ahi Evran Üniversitesi
2922, Mimar Sinan Fine Arts University, Mimar Sinan Güzel Sanatlar Üniversitesi
2969, Uşak University, Uşak Üniversitesi
2970, T C Ordu University / T.C. Ordu Üniversitesi, T C Ordu Üniversitesi / T.C. Ordu Üniversitesi
2976, Bursa Teknik Üniversitesi, Bursa Teknik Üniversitesi
2986, Nevşehir University / Nevşehir Hacı Bektaş Veli Üniversitesi, Nevşehir Üniversitesi / Nevşehir Hacı Bektaş Veli Üniversitesi
3021, Istanbul Commerce University / İstanbul Ticaret Üniversitesi, İstanbul Ticaret Üniversitesi / İstanbul Ticaret Üniversitesi
