ID, Name(EN), Name(TR)
173499, ABDULLAH GÜL UNIVERSITY, ABDULLAH GÜL ÜNİVERSİTESİ
326654, ACIBADEM MEHMET ALI AYDINLAR UNIVERSITY, ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ
385368, ADANA ALPARSLAN TÜRKEŞ SCIENCE AND TECHNOLOGY UNIVERSITY, ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
100259, ADIYAMAN UNIVERSITY, ADIYAMAN ÜNİVERSİTESİ
100869, AFYON KOCATEPE UNIVERSITY, AFYON KOCATEPE ÜNİVERSİTESİ
339999, AFYONKARAHİSAR HEALTH SCIENCES UNIVERSITY, AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
101313, AĞRI İBRAHİM ÇEÇEN UNIVERSITY, AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ
101458, MEDITERRANEAN UNIVERSITY, AKDENİZ ÜNİVERSİTESİ
102005, AKSARAY UNIVERSITY, AKSARAY ÜNİVERSİTESİ
274883, ALANYA ALAADDİN KEYKUBAT UNIVERSITY, ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ
447835, ALANYA UNIVERSITY, ALANYA ÜNİVERSİTESİ
326019, ALTINBAŞ UNIVERSITY, ALTINBAŞ ÜNİVERSİTESİ
102198, AMASYA UNIVERSITY, AMASYA ÜNİVERSİTESİ
102261, ANATOLIAN UNIVERSITY, ANADOLU ÜNİVERSİTESİ
411762, ANKARA SCIENCE UNIVERSITY, ANKARA BİLİM ÜNİVERSİTESİ
339985, ANKARA HACI BAYRAM VELİ UNIVERSITY, ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ
340001, ANKARA MEDIPOL UNIVERSITY, ANKARA MEDİPOL ÜNİVERSİTESİ
324993, ANKARA UNIVERSITY OF MUSIC AND FINE ARTS, ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ
232846, ANKARA SOCIAL SCIENCES UNIVERSITY, ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ
102738, ANKARA UNIVERSITY, ANKARA ÜNİVERSİTESİ
